complaint_id,date,product,channel,customer_region,complaint_text
C0358,2025-02-08,Home Loan,Branch,Hamilton,Card delivery took longer than expected
C0359,2025-01-11,Mobile Banking,Email,Christchurch,Statement was confusing to understand
C0360,2025-02-23,Savings Account,Mobile App,Christchurch,Payment notification arrived late
C0361,2025-01-31,Mobile Banking,Mobile App,Hamilton,Branch queue was too long
C0362,2025-02-07,Credit Card,Branch,Christchurch,Unable to reset password quickly
C0363,2025-02-06,Personal Loan,Phone,Dunedin,Mobile app crashed once during transfer
C0364,2025-02-10,Home Loan,Phone,Dunedin,Payment notification arrived late
C0365,2025-01-03,Mobile Banking,Chat,Wellington,Could not update my contact details easily
C0366,2025-01-27,Mobile Banking,Phone,Wellington,Scam transfer was not blocked in time
C0367,2025-02-28,Home Loan,Chat,Wellington,Mobile app crashed once during transfer
C0368,2025-01-21,Savings Account,Phone,Wellington,Payment notification arrived late
C0369,2025-01-30,Savings Account,Mobile App,Hamilton,Card delivery took longer than expected
C0370,2025-02-09,Mobile Banking,Branch,Dunedin,Branch queue was too long
C0371,2025-01-15,Savings Account,Email,Wellington,Branch queue was too long
C0372,2025-01-21,Personal Loan,Branch,Wellington,Loan approval process felt delayed
C0373,2025-01-19,Savings Account,Branch,Dunedin,Branch queue was too long
C0374,2025-02-22,Credit Card,Mobile App,Dunedin,Unable to reset password quickly
C0375,2025-01-23,Personal Loan,Email,Christchurch,My card was charged twice for the same purchase
C0376,2025-01-18,Savings Account,Branch,Hamilton,Payment notification arrived late
C0377,2025-01-16,Mobile Banking,Branch,Wellington,Unexpected error caused payment to fail repeatedly
C0378,2025-01-04,Home Loan,Phone,Dunedin,Could not update my contact details easily
C0379,2025-02-13,Credit Card,Chat,Christchurch,Had to wait too long on customer support
C0380,2025-01-27,Home Loan,Phone,Dunedin,Card delivery took longer than expected
C0381,2025-01-21,Savings Account,Chat,Wellington,Branch queue was too long
C0382,2025-02-04,Personal Loan,Phone,Auckland,Could not update my contact details easily
C0383,2025-03-01,Credit Card,Email,Hamilton,Card delivery took longer than expected
C0384,2025-02-26,Credit Card,Chat,Hamilton,I think this payment error caused duplicate charge
C0385,2025-03-01,Credit Card,Phone,Christchurch,Had to wait too long on customer support
C0386,2025-02-03,Personal Loan,Branch,Hamilton,Payment notification arrived late
C0387,2025-02-21,Savings Account,Email,Dunedin,Could not update my contact details easily
C0388,2025-02-15,Credit Card,Branch,Wellington,Branch queue was too long
C0389,2025-02-13,Home Loan,Phone,Christchurch,Mobile app crashed once during transfer
C0390,2025-02-22,Home Loan,Email,Dunedin,Unable to reset password quickly
C0391,2025-01-12,Savings Account,Mobile App,Christchurch,My card was charged twice for the same purchase
C0392,2025-01-17,Home Loan,Chat,Christchurch,App was slow during login
C0393,2025-01-20,Savings Account,Email,Hamilton,Statement was confusing to understand
C0394,2025-02-14,Mobile Banking,Mobile App,Auckland,Statement was confusing to understand
C0395,2025-01-26,Home Loan,Phone,Auckland,Card delivery took longer than expected
C0396,2025-01-24,Mobile Banking,Branch,Auckland,Branch queue was too long
C0397,2025-01-10,Mobile Banking,Email,Wellington,Loan approval process felt delayed
C0398,2025-02-28,Savings Account,Mobile App,Christchurch,Payment notification arrived late
C0399,2025-02-25,Savings Account,Mobile App,Wellington,Mobile app crashed once during transfer
C0400,2025-01-05,Credit Card,Mobile App,Hamilton,Statement was confusing to understand
C0401,2025-02-14,Credit Card,Mobile App,Auckland,My card was charged twice for the same purchase
C0402,2025-02-14,Credit Card,Mobile App,Dunedin,Possible fraud on my credit card
C0403,2025-02-14,Credit Card,Mobile App,Dunedin,Possible fraud on my credit card
C0404,2025-02-14,Credit Card,Email,Christchurch,Charged twice and still no refund
C0405,2025-02-14,Credit Card,Phone,Wellington,Charged twice and still no refund
C0406,2025-02-14,Credit Card,Phone,Dunedin,Charged twice and still no refund
C0407,2025-02-14,Credit Card,Phone,Hamilton,Possible fraud on my credit card
C0408,2025-02-14,Credit Card,Mobile App,Hamilton,Charged twice and still no refund
C0409,2025-02-14,Credit Card,Mobile App,Auckland,Charged twice and still no refund
C0410,2025-02-14,Credit Card,Branch,Auckland,Charged twice and still no refund
C0411,2025-02-14,Credit Card,Branch,Auckland,Possible fraud on my credit card
C0412,2025-02-14,Credit Card,Mobile App,Auckland,My card was charged twice for the same purchase
C0413,2025-02-14,Credit Card,Chat,Christchurch,My card was charged twice for the same purchase
C0414,2025-02-14,Credit Card,Mobile App,Auckland,My card was charged twice for the same purchase
C0415,2025-02-14,Credit Card,Chat,Auckland,I saw an unauthorised transaction on my account
C0416,2025-02-14,Credit Card,Chat,Wellington,Possible fraud on my credit card
C0417,2025-02-14,Credit Card,Chat,Christchurch,Charged twice and still no refund
C0418,2025-02-14,Credit Card,Chat,Hamilton,Charged twice and still no refund
C0419,2025-02-14,Credit Card,Phone,Dunedin,Possible fraud on my credit card
C0420,2025-02-14,Credit Card,Branch,Auckland,Possible fraud on my credit card
